Time: 16:49		ip: 10.10.4.9  		 Status: Unreachable
Time: 16:49		ip: 10.10.4.10  		 Status: Unreachable
Time: 16:49		ip: 10.10.4.11  		 Status: Unreachable
Time: 16:49		ip: 10.10.4.12  		 Status: Unreachable
Time: 16:49		ip: 10.10.4.13  		 Status: Unreachable
Time: 16:49		ip: 10.10.4.14  		 Status: Unreachable
Time: 16:49		ip: 10.10.4.15  		 Status: Unreachable
Time: 16:49		ip: 10.10.4.23  		 Status: Unreachable
Time: 16:49		ip: 10.10.4.4  		 Status: Unreachable
Time: 16:49		ip: 10.10.5.230  		 Status: Unreachable
Time: 16:49		ip: 10.10.4.5  		 Status: Unreachable
Time: 16:49		ip: 10.10.4.6  		 Status: Unreachable
Time: 16:49		ip: 10.10.4.7  		 Status: Unreachable
Time: 16:49		ip: 10.10.4.8  		 Status: Unreachable
Time: 16:49		ip: 10.10.4.9  		 Status: Unreachable
Time: 16:49		ip: 10.10.4.10  		 Status: Unreachable
Time: 16:49		ip: 10.10.4.11  		 Status: Unreachable
Time: 16:49		ip: 10.10.4.12  		 Status: Unreachable
Time: 16:49		ip: 10.10.4.13  		 Status: Unreachable
Time: 16:49		ip: 10.10.4.14  		 Status: Unreachable
Time: 16:49		ip: 10.10.4.15  		 Status: Unreachable
Time: 16:49		ip: 10.10.4.23  		 Status: Unreachable
Time: 16:49		ip: 10.10.4.4  		 Status: Unreachable
Time: 16:49		ip: 10.10.5.230  		 Status: Unreachable
Time: 16:49		ip: 10.10.4.5  		 Status: Unreachable
Time: 16:49		ip: 10.10.4.6  		 Status: Unreachable
Time: 16:49		ip: 10.10.4.7  		 Status: Unreachable
Time: 16:49		ip: 10.10.4.8  		 Status: Unreachable
Time: 16:49		ip: 10.10.4.9  		 Status: Unreachable
Time: 16:49		ip: 10.10.4.10  		 Status: Unreachable
Time: 16:49		ip: 10.10.4.11  		 Status: Unreachable
Time: 16:49		ip: 10.10.4.12  		 Status: Unreachable
Time: 16:49		ip: 10.10.4.13  		 Status: Unreachable
Time: 16:49		ip: 10.10.4.14  		 Status: Unreachable
Time: 16:49		ip: 10.10.4.15  		 Status: Unreachable
Time: 16:49		ip: 10.10.4.23  		 Status: Unreachable
Time: 16:49		ip: 10.10.4.4  		 Status: Unreachable
Time: 16:49		ip: 10.10.5.230  		 Status: Unreachable
Time: 16:50		ip: 10.10.4.5  		 Status: Unreachable
Time: 16:50		ip: 10.10.4.6  		 Status: Unreachable
Time: 16:50		ip: 10.10.4.7  		 Status: Unreachable
Time: 16:50		ip: 10.10.4.8  		 Status: Unreachable
Time: 16:50		ip: 10.10.4.9  		 Status: Unreachable
Time: 16:50		ip: 10.10.4.10  		 Status: Unreachable
Time: 16:50		ip: 10.10.4.11  		 Status: Unreachable
Time: 16:50		ip: 10.10.4.12  		 Status: Unreachable
Time: 16:50		ip: 10.10.4.13  		 Status: Unreachable
Time: 16:50		ip: 10.10.4.14  		 Status: Unreachable
Time: 16:50		ip: 10.10.4.15  		 Status: Unreachable
Time: 16:50		ip: 10.10.4.23  		 Status: Unreachable
Time: 16:50		ip: 10.10.4.4  		 Status: Unreachable
Time: 16:50		ip: 10.10.5.230  		 Status: Unreachable
Time: 16:50		ip: 10.10.4.5  		 Status: Unreachable
Time: 16:50		ip: 10.10.4.6  		 Status: Unreachable
Time: 16:50		ip: 10.10.4.7  		 Status: Unreachable
Time: 16:50		ip: 10.10.4.8  		 Status: Unreachable
Time: 16:50		ip: 10.10.4.9  		 Status: Unreachable
Time: 16:50		ip: 10.10.4.10  		 Status: Unreachable
Time: 16:50		ip: 10.10.4.11  		 Status: Unreachable
Time: 16:50		ip: 10.10.4.12  		 Status: Unreachable
Time: 16:50		ip: 10.10.4.13  		 Status: Unreachable
Time: 16:50		ip: 10.10.4.14  		 Status: Unreachable
Time: 16:50		ip: 10.10.4.15  		 Status: Unreachable
Time: 16:50		ip: 10.10.4.23  		 Status: Unreachable
Time: 16:50		ip: 10.10.4.4  		 Status: Unreachable
Time: 16:50		ip: 10.10.5.230  		 Status: Unreachable
Time: 16:50		ip: 10.10.4.5  		 Status: Unreachable
Time: 16:50		ip: 10.10.4.6  		 Status: Unreachable
Time: 16:50		ip: 10.10.4.7  		 Status: Unreachable
Time: 16:50		ip: 10.10.4.8  		 Status: Unreachable
Time: 16:50		ip: 10.10.4.9  		 Status: Unreachable
Time: 16:50		ip: 10.10.4.10  		 Status: Unreachable
Time: 16:50		ip: 10.10.4.11  		 Status: Unreachable
Time: 16:50		ip: 10.10.4.12  		 Status: Unreachable
Time: 16:50		ip: 10.10.4.13  		 Status: Unreachable
Time: 16:50		ip: 10.10.4.14  		 Status: Unreachable
